city,date,temp_max,temp_min,precipitation,wind_speed_max,precip_prob_max
Tallahassee,2026-03-31,28.3,16.6,0.0,,
Tallahassee,2026-04-01,27.9,16.5,0.0,,
Tallahassee,2026-04-02,28.7,16.2,0.0,,
Tallahassee,2026-04-03,27.7,16.8,1.0,,
Tallahassee,2026-04-04,28.8,16.8,0.0,,
Tallahassee,2026-04-05,29.3,17.1,0.3,,
Tallahassee,2026-04-06,19.7,12.1,1.5,,
Miami,2026-03-31,26.8,21.1,0.0,,
Miami,2026-04-01,26.9,20.9,0.0,,
Miami,2026-04-02,25.8,21.5,1.85,,
Miami,2026-04-03,25.9,23.8,4.1,,
Miami,2026-04-04,26.0,23.5,2.1,,
Miami,2026-04-05,26.6,23.8,1.2,,
Miami,2026-04-06,27.1,24.0,0.9,,
Orlando,2026-03-31,28.8,16.2,0.0,,
Orlando,2026-04-01,26.6,15.2,0.0,,
Orlando,2026-04-02,28.5,16.0,5.0,,
Orlando,2026-04-03,29.9,19.2,0.0,,
Orlando,2026-04-04,29.6,19.6,0.0,,
Orlando,2026-04-05,31.1,20.2,2.1,,
Orlando,2026-04-06,26.9,19.5,1.8,,
Tallahassee,2026-03-31,27.9,16.6,0.0,16.6,3.0
Tallahassee,2026-04-01,28.1,17.3,0.0,11.8,6.0
Tallahassee,2026-04-02,28.4,16.2,0.0,15.3,4.0
Tallahassee,2026-04-03,29.2,17.5,2.2,13.1,21.0
Tallahassee,2026-04-04,28.9,16.7,0.0,16.6,6.0
Tallahassee,2026-04-05,30.1,16.5,0.0,13.9,25.0
Tallahassee,2026-04-06,18.2,13.1,3.9,14.3,18.0
Miami,2026-03-31,27.3,21.1,0.0,23.1,7.0
Miami,2026-04-01,26.9,20.9,0.0,21.2,10.0
Miami,2026-04-02,26.2,21.5,0.5,29.0,34.0
Miami,2026-04-03,25.9,23.9,1.7,30.6,13.0
Miami,2026-04-04,26.1,23.6,0.5,30.4,22.0
Miami,2026-04-05,26.1,23.6,2.1,22.6,21.0
Miami,2026-04-06,26.2,23.8,0.0,19.1,24.0
Orlando,2026-03-31,28.4,16.2,0.0,20.0,2.0
Orlando,2026-04-01,27.6,14.7,0.0,19.5,16.0
Orlando,2026-04-02,28.3,15.2,0.1,23.8,53.0
Orlando,2026-04-03,29.7,19.7,0.0,24.2,15.0
Orlando,2026-04-04,29.8,19.4,0.0,22.9,15.0
Orlando,2026-04-05,31.2,19.7,0.0,14.8,28.0
Orlando,2026-04-06,30.4,20.0,18.6,13.4,35.0
Tallahassee,2026-03-31,27.9,16.6,0.0,16.6,3.0
Tallahassee,2026-04-01,28.1,17.3,0.0,11.8,6.0
Tallahassee,2026-04-02,28.4,16.2,0.0,15.3,4.0
Tallahassee,2026-04-03,29.2,17.5,2.2,13.1,21.0
Tallahassee,2026-04-04,28.9,16.7,0.0,16.6,6.0
Tallahassee,2026-04-05,30.1,16.5,0.0,13.9,25.0
Tallahassee,2026-04-06,18.2,13.1,3.9,14.3,18.0
Miami,2026-03-31,27.3,21.1,0.0,23.1,7.0
Miami,2026-04-01,26.9,20.9,0.0,21.2,10.0
Miami,2026-04-02,26.2,21.5,0.5,29.0,34.0
Miami,2026-04-03,25.9,23.9,1.7,30.6,13.0
Miami,2026-04-04,26.1,23.6,0.5,30.4,22.0
Miami,2026-04-05,26.1,23.6,2.1,22.6,21.0
Miami,2026-04-06,26.2,23.8,0.0,19.1,24.0
Orlando,2026-03-31,28.4,16.2,0.0,20.0,2.0
Orlando,2026-04-01,27.6,14.7,0.0,19.5,16.0
Orlando,2026-04-02,28.3,15.2,0.1,23.8,53.0
Orlando,2026-04-03,29.7,19.7,0.0,24.2,15.0
Orlando,2026-04-04,29.8,19.4,0.0,22.9,15.0
Orlando,2026-04-05,31.2,19.7,0.0,14.8,28.0
Orlando,2026-04-06,30.4,20.0,18.6,13.4,35.0
Tallahassee,2026-03-31,27.9,16.6,0.0,16.6,3.0
Tallahassee,2026-04-01,28.1,17.3,0.0,11.8,6.0
Tallahassee,2026-04-02,28.4,16.2,0.0,15.3,4.0
Tallahassee,2026-04-03,29.2,17.5,2.2,13.1,21.0
Tallahassee,2026-04-04,28.9,16.7,0.0,16.6,6.0
Tallahassee,2026-04-05,30.1,16.5,0.0,13.9,25.0
Tallahassee,2026-04-06,18.2,13.1,3.9,14.3,18.0
Miami,2026-03-31,27.3,21.1,0.0,23.1,7.0
Miami,2026-04-01,26.9,20.9,0.0,21.2,10.0
Miami,2026-04-02,26.2,21.5,0.5,29.0,34.0
Miami,2026-04-03,25.9,23.9,1.7,30.6,13.0
Miami,2026-04-04,26.1,23.6,0.5,30.4,22.0
Miami,2026-04-05,26.1,23.6,2.1,22.6,21.0
Miami,2026-04-06,26.2,23.8,0.0,19.1,24.0
Orlando,2026-03-31,28.4,16.2,0.0,20.0,2.0
Orlando,2026-04-01,27.6,14.7,0.0,19.5,16.0
Orlando,2026-04-02,28.3,15.2,0.1,23.8,53.0
Orlando,2026-04-03,29.7,19.7,0.0,24.2,15.0
Orlando,2026-04-04,29.8,19.4,0.0,22.9,15.0
Orlando,2026-04-05,31.2,19.7,0.0,14.8,28.0
Orlando,2026-04-06,30.4,20.0,18.6,13.4,35.0
